Rank,Player,Expert
2,Mike Trout CF | LAA  $50 ,2
3,Jose Ramirez 3B | CLE  $48 ,2
4,Jose Altuve 2B | HOU $45 ,2
5,Nolan Arenado 3B | COL $45 ,2
6,Max Scherzer SP | WAS  $45 ,2
7,J.D. Martinez DH | BOS $45 ,2
8,Bryce Harper RF | PHI  $45 ,2
9,Freddie Freeman 1B | ATL $40 ,2
10,Paul Goldschmidt 1B | STL  $39 ,2
11,Alex Bregman 3B | HOU $39 ,2
12,Francisco Lindor SS | CLE  $39 ,2
13,Manny Machado SS | SD $39 ,2
14,Trea Turner SS | WAS  $37 ,2
15,Jacob deGrom SP | NYM  $39 ,2
16,Justin Verlander SP | HOU  $39 ,2
17,Chris Sale SP | BOS  $40 ,2
18,Blake Snell SP | TB  $33 ,2
19,Andrew Benintendi LF | BOS $39 ,2
20,Aaron Judge RF | NYY $30 ,2
21,Christian Yelich LF | MIL  $39 ,2
22,Corey Kluber SP | CLE  $33 ,2
23,Gerrit Cole SP | HOU  $32 ,2
24,Aaron Nola SP | PHI $32 ,2
25,Juan Soto LF | WAS $31 ,2
26,Ronald Acuna LF | ATL  $31 ,2
27,Charlie Blackmon CF | COL $30 ,2
28,Noah Syndergaard SP | NYM $26 ,2
29,Carlos Carrasco SP | CLE $27 ,2
30,Trevor Bauer SP | CLE $27 ,2
31,Giancarlo Stanton DH | NYY $30 ,2
32,Carlos Correa SS | HOU  $29 ,2
33,Trevor Story SS | COL $29 ,2
34,Matt Carpenter 1B | STL  $29 ,2
35,Anthony Rizzo 1B | CHC $28 ,2
36,Rhys Hoskins LF | PHI  $25 ,2
37,Joey Votto 1B | CIN $25 ,2
38,Jose Abreu 1B | CHW $25 ,2
39,Anthony Rendon 3B | WAS  $24 ,2
40,Stephen Strasburg SP | WAS $24 ,2
41,James Paxton SP | NYY $24 ,2
42,Zack Greinke SP | ARI $24 ,2
43,J.T. Realmuto C | PHI $24 ,2
44,Jack Flaherty SP | STL  $24 ,2
45,Walker Buehler SP | LAD  $24 ,2
46,Michael Brantley LF | HOU $24 ,2
47,Whit Merrifield 2B | KC $24 ,2
48,Javier Baez 2B | CHC $24 ,2
49,Gary Sanchez C | NYY $24 ,2
50,George Springer CF | HOU $23 ,2
51,Kris Bryant 3B | CHC $23 ,2
52,Starling Marte CF | PIT  $20 ,2
53,Lorenzo Cain CF | MIL  $20 ,2
54,Mitch Haniger RF | SEA  $19 ,2
55,Cody Bellinger 1B | LAD $19 ,2
56,Miles Mikolas SP | STL $19 ,2
57,Clayton Kershaw SP | LAD  $15 ,2
58,Patrick Corbin SP | WAS  $24 ,2
59,Mike Clevinger SP | CLE $19 ,2
