Rank,Player,Expert
242,* Tim Anderson SS | CHW $1 ,2
243,Marcus Semien SS | OAK  $1 ,2
244,* Austin Meadows RF | TB $1 ,2
245,* Franmil Reyes RF | SD  ,2
246,Jake Lamb 3B | ARI $1 ,2
247,* Jorge Alfaro C | MIA  $1 ,2
248,* Tyler O'Neill RF | STL ,2
249,* Julio Urias RP | LAD  ,2
250,Jed Lowrie 2B | NYM  $1 ,2
251,Chris Taylor SS | LAD $1 ,2
252,Jonathan Schoop 2B | MIN  $1 ,2
253,Ketel Marte 2B | ARI  $1 ,2
254,* Josh Harrison 2B | DET $1 ,2
255,* David Robertson RP | PHI ,2
256,* Danny Duffy SP | KC  ,2
257,* Michael Fulmer SP | DET  ,2
258,* Touki Toussaint SP | ATL  ,2
259,* Nick Kingham SP | PIT  ,2
260,* Seranthony Dominguez RP | PHI  ,2
261,* Brad Peacock RP | HOU  ,2
262,* Alex Colome RP | CHW  ,2
263,* Jordan Hicks RP | STL  ,2
264,* Amed Rosario SS | NYM  ,2
265,Miguel Sano 3B | MIN  $1 ,2
266,Asdrubal Cabrera 2B | TEX  ,2
267,Joey Wendle 2B | TB  ,2
268,* Mark Trumbo DH | BAL  ,2
269,Evan Gattis DH | HOU  ,2
270,Eduardo Escobar 3B | ARI  ,2
271,* Evan Longoria 3B | SF ,2
272,* Ian Happ CF | CHC ,2
273,* Freddy Peralta SP | MIL  ,2
274,* Chase Anderson SP | MIL  ,2
275,* Mike Zunino C | TB  ,2
276,Tucker Barnhart C | CIN  ,2
277,Dylan Bundy SP | BAL  ,2
278,* Chris Paddack SP | SD  ,2
279,Sonny Gray SP | CIN  ,2
280,Tanner Roark SP | CIN  ,2
281,Gio Gonzalez SP | WAS  ,2
282,Michael Wacha SP | STL  ,2
283,* Steven Matz SP | NYM  ,2
284,* Arodys Vizcaino RP | ATL  $1 ,2
285,* Pedro Strop RP | CHC  ,2
286,* A.J. Minter RP | ATL  ,2
287,* Archie Bradley RP | ARI  ,2
288,* Jeremy Jeffress RP | MIL  ,2
289,* Forrest Whitley SP | HOU  ,2
290,* Robinson Chirinos C | HOU  ,2
291,* C.J. Cron DH | MIN ,2
292,* Ryan McMahon 1B | COL  ,2
293,* Jay Bruce RF | SEA ,2
294,* Dellin Betances RP | NYY  ,2
295,* Ross Stripling SP | LAD  ,2
296,Jake Junis SP | KC ,2
297,* Jorge Polanco SS | MIN  ,2
298,* Garrett Hampson SS | COL  ,2
299,* Luis Urias 2B | SD  ,2
300,* Ian Kinsler 2B | SD  ,2
